radius,density
0.000000, 13088.480000
100000.000000, 13086.300000
200000.000000, 13079.770000
300000.000000, 13068.880000
400000.000000, 13053.640000
500000.000000, 13034.040000
600000.000000, 13010.090000
700000.000000, 12981.780000
800000.000000, 12949.120000
900000.000000, 12912.110000
1000000.000000, 12870.730000
1100000.000000, 12825.010000
1200000.000000, 12774.930000
1221500.000000, 12763.600000
1221500.000000, 12166.340000
1300000.000000, 12125.000000
1400000.000000, 12069.240000
1500000.000000, 12009.890000
1600000.000000, 11946.820000
1700000.000000, 11879.900000
1800000.000000, 11809.000000
1900000.000000, 11734.010000
2000000.000000, 11654.780000
2100000.000000, 11571.190000
2200000.000000, 11483.110000
2300000.000000, 11390.420000
2400000.000000, 11292.980000
2500000.000000, 11190.670000
2600000.000000, 11083.350000
2700000.000000, 10970.910000
2800000.000000, 10853.210000
2900000.000000, 10730.120000
3000000.000000, 10601.520000
3100000.000000, 10467.270000
3200000.000000, 10327.260000
3300000.000000, 10181.340000
3400000.000000, 10029.400000
3480000.000000, 9903.490000
3480000.000000, 5566.450000
3500000.000000, 5556.410000
3600000.000000, 5506.420000
3630000.000000, 5491.450000
3630000.000000, 5491.450000
3700000.000000, 5456.570000
3800000.000000, 5406.810000
3900000.000000, 5357.060000
4000000.000000, 5307.240000
4100000.000000, 5257.290000
4200000.000000, 5207.130000
4300000.000000, 5156.690000
4400000.000000, 5105.900000
4500000.000000, 5054.690000
4600000.000000, 5002.990000
4700000.000000, 4950.730000
4800000.000000, 4897.830000
4900000.000000, 4844.220000
5000000.000000, 4789.830000
5100000.000000, 4734.600000
5200000.000000, 4678.440000
5300000.000000, 4621.290000
5400000.000000, 4563.070000
5500000.000000, 4503.720000
5600000.000000, 4443.170000
5600000.000000, 4443.160000
5650000.000000, 4412.410000
5701000.000000, 4380.710000
5701000.000000, 3992.140000
5736000.000000, 3983.990000
5771000.000000, 3975.840000
5771000.000000, 3975.840000
5821000.000000, 3912.820000
5871000.000000, 3849.800000
5921000.000000, 3786.780000
5971000.000000, 3723.780000
5971000.000000, 3543.250000
6016000.000000, 3516.390000
6061000.000000, 3489.510000
6106000.000000, 3462.640000
6151000.000000, 3435.780000
6151000.000000, 3359.500000
6171000.000000, 3361.670000
6191000.000000, 3363.840000
6211000.000000, 3366.020000
6231000.000000, 3368.190000
6251000.000000, 3370.360000
6271000.000000, 3372.540000
6291000.000000, 3374.710000
6291000.000000, 3374.710000
6311000.000000, 3376.880000
6331000.000000, 3379.060000
6346600.000000, 3380.760000
6346600.000000, 2900.000000
6356000.000000, 2900.000000
6356000.000000, 2600.000000
6368000.000000, 2600.000000
6368000.000000, 1020.000000
6371000.000000, 1020.000000
